Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;260969;252946;513915
1 a 4 anos;1047575;1009471;2057046
5 a 9 anos;1422199;1368399;2790598
10 a 14 anos;1676257;1622932;3299189
15 a 19 anos;1631946;1594769;3226715
20 a 29 anos;3782145;3761299;7543444
30 a 39 anos;3362828;3524505;6887333
40 a 49 anos;2849095;3093644;5942739
50 a 59 anos;2237203;2539800;4777003
60 a 69 anos;1284712;1539173;2823885
70 a 79 anos;656732;894422;1551154
80 anos e mais;265932;477814;743746
Total;20477593;21679174;42156767
